Language,Speakers
English,"231,122,908"
Spanish,"37,458,470"
Chinese Languages,"2,896,766"
French and French Creole,"2,047,467"
Tagalog,"1,613,346"
Vietnamese,"1,399,936"
Korean,"1,117,343"
German,"1,063,773"
Arabic,"924,374"
Russian,"879,434"
Italian,"708,966"
Portuguese,"693,469"
Hindi,"643,337"
Polish,"580,153"
Japanese,"449,475"
Urdu,"397,502"
Persian,"391,113"
Gujarati,"373,253"
Greek,"304,932"
Bengali,"257,740"
Panjabi,"253,740"
Telugu,"247,760"
Armenian,"237,840"
Hmong,"214,943"
Hebrew,"212,747"
